province,Heilongjiang,Jilin,Liaoning,EastInnerMongolia,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,Xizang,Hebei,Beijing,Tianjin,Shanxi,Shandong,WestInnerMongolia,Hubei,Hunan,Jiangxi,Henan,Chongqing,Sichuan,Guangdong,Hainan,Guangxi,Guizhou,Yunnan,Shanghai,Jiangsu,Anhui,Fujian,Zhejiang
Heilongjiang,0,7600,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jilin,7600,0,8000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liaoning,0,8000,0,9400,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EastInnerMongolia,3000,1200,9400,0,0,0,0,0,0,0,0,0,0,0,10000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaanxi,0,0,0,0,0,8250,0,200,0,0,0,0,0,10650,0,400,16100,0,0,1650,0,3000,0,0,0,0,50,0,0,8000,0,0
Gansu,0,0,0,0,8250,0,22800,8200,2550,0,0,0,0,0,8000,0,0,8000,0,8000,0,400,0,0,0,0,0,0,0,0,0,8000
Qinghai,0,0,0,0,0,22800,0,0,8000,600,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0
Ningxia,0,0,0,0,200,8200,0,0,0,0,0,0,0,0,4000,1000,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
Xinjiang,0,0,0,0,0,2550,8000,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,0,0,0,0,0,0,0,0,12000,0,0
Xizang,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0
Hebei,0,0,3000,0,0,0,0,0,0,0,0,22600,22200,23800,27500,23000,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0
Beijing,0,0,0,0,0,0,0,0,0,0,22600,0,1500,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tianjin,0,0,0,0,0,0,0,0,0,0,22200,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanxi,0,0,0,0,10650,0,0,0,0,0,23800,3000,0,0,4500,17700,0,0,0,8200,0,0,0,0,0,0,0,0,8000,0,0,0
Shandong,0,0,0,10000,0,8000,0,4000,0,0,27500,0,0,4500,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0
WestInnerMongolia,0,0,0,4000,400,0,0,1000,0,0,23000,0,0,17700,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0
Hubei,0,0,0,0,16100,0,0,0,0,8000,0,0,0,0,0,0,0,18500,18500,42800,16000,0,3000,0,0,0,0,6000,2000,0,0,0
Hunan,0,0,0,0,0,8000,0,8000,0,0,0,0,0,0,0,0,18500,0,20000,0,400,0,1500,0,400,1600,0,0,0,0,0,0
Jiangxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18500,20000,0,0,0,16000,0,0,0,0,0,0,0,0,0,0
Henan,0,0,0,0,1650,8000,8000,0,8000,0,4500,0,0,6000,0,0,42800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chongqing,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,11000,400,0,0,0,35000,0,0,0,2000,0,0,0,0,0,0
Sichuan,0,0,0,0,3000,400,0,0,0,1500,0,0,0,0,0,0,0,0,16000,0,35000,0,0,0,0,400,400,14400,15200,0,0,24000
Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1500,0,0,0,0,0,7500,12000,8000,29400,0,0,0,3400,0
Hainan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0
Guangxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,12000,0,0,14800,12200,0,0,0,0,0
Guizhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,2000,400,5800,0,14800,0,4900,0,0,0,0,0
Yunnan,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,28400,0,12200,4900,0,0,0,0,0,0
Shanghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,14400,0,0,0,0,0,0,16800,0,0,8400
Jiangsu,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,13000,10000,2000,0,0,0,0,15200,0,0,0,0,0,16800,0,16000,0,3000
Anhui,0,0,0,0,8000,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,9500
Fujian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,9800
Zhejiang,0,0,0,0,0,8000,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,8400,3000,9500,15000,0
